,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-20,2018-01-21,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-27,2018-01-28,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-03
662,HTC,POS,SKIN,STRC,ACE,KBR,GRWI,ZENI,VIDZ,KEK,LNK,JNS,INPAY,SDC,KEK,BLAS,POP,AU,POP,CCRB
663,NETKO,NUKO,SDC,TTC,I0C,DGC,TRCT,BRIT,FUCK,MCRN,HODL,CCRB,GRWI,JET,SKIN,SKC,NET,POP,JET,ACE
664,GUN,IETH,CPC,CFD,GRWI,TIT,YASH,BTCR,BIGUP,SDC,STRC,INPAY,JET,LANA,GRWI,GRWI,UNIFY,HPC,BRO,CJ
665,CCRB,CFD,NUKO,ACE,TROLL,BBP,ACE,STRC,STN,GRWI,Q2C,ACE,ZET,INPAY,ORB,BRO,INPAY,UNIFY,FST,XCPO
666,FCN,CORG,Q2C,LOG,DAXX,SDC,ARI,DGC,ATS,PIGGY,FUCK,GRWI,KEK,SKC,ACE,KEK,GRWI,ECASH,SCORE,INFX
667,BTCR,XPD,MCRN,CPC,TKR,ZENI,ETG,SIFT,INPAY,VIDZ,SKIN,GUN,CORG,SKIN,TTC,SDC,SKIN,KEK,BYC,CFT
668,TTC,STRC,UTC,ITI,JNS,YASH,I0C,ZET,ZENI,KOBO,INPAY,DAXX,CRM,STRC,NET,FUCK,SDC,SKC,SKC,INPAY
669,MNE,DFS,TKR,ATS,SKIN,I0C,DGC,ORB,SKIN,ATS,PIGGY,HODL,PIGGY,BPC,RKC,ATS,ETG,LNK,INFX,MEC
670,ENT,Q2C,I0C,I0C,ZENI,TROLL,MRT,SKIN,I0C,STRC,ZENI,XPD,HODL,EMV,ETG,TTC,ATS,BRO,DGC,XCN
671,HODL,ATS,CFD,XCXT,DFS,GUN,ZENI,PIGGY,ZET,FUCK,JET,UTC,BIGUP,KEK,BLAS,STRC,EBCH,ACE,INPAY,AU
672,NUKO,BIGUP,ATOM,IETH,BTCR,LNK,Q2C,MBI,DGC,ZET,UTC,EBET,ATS,TTC,ROC,DSR,TTC,FST,TTC,SKC
673,WHL,ROC,BTB,Q2C,LOG,FUCK,DRXNE,SAGA,CJ,BUN,ORB,Q2C,KOBO,ORB,ZET,AU,INSN,GRWI,EBET,SIFT
674,DFT,42,IETH,SKIN,STRC,SKIN,SMLY,BLAS,GRWI,SUR,TES,CORG,MRT,ZET,PIGGY,ORB,KOBO,KLN,LNK,ZET
675,FC2,DAXX,DAXX,DAXX,CPC,KOBO,SKIN,XCXT,SUR,ITI,SUR,MAC,BLAS,MDC,LNK,ZET,ORB,ETG,ETG,ETG
676,XBL,UTC,PIPL,KURT,UTC,BTCR,STRC,Q2C,KOBO,GUN,SMC,PIGGY,GUN,PIGGY,ZENI,MNE,BLAS,ATS,ORB,DSR
677,INPAY,SDC,HBN,DEM,SMC,STRC,GUN,UTC,PIGGY,YASH,ELE,BIGUP,ZENI,HODL,GUN,ACE,ZET,INSN,ECASH,KOBO
678,DFS,BTCRED,XPD,XBL,FC2,NETKO,EBET,MRT,SHORTY,SMC,GUN,STRC,ACE,UTC,STRC,ZENI,ROC,NET,BLAS,LNK
679,BBP,SKIN,BTCRED,WGO,Q2C,CPC,LOG,TROLL,YASH,MRT,YASH,ITI,CFD,GAIA,CCRB,ROC,SMC,STN,ZENI,MBI
680,SKIN,AMS,BTCR,SDC,SDC,MDC,XJO,NETKO,STRC,EBET,MNE,BRIT,ORB,ZENI,UTC,BBP,FST,ORB,ATS,TTC
681,ROC,BPC,GAIA,OTX,MAX,OTX,TROLL,SHORTY,XCXT,UTC,ATS,SMC,LOG,CRM,JNS,HODL,ZENI,SMC,EBCH,NIMFA
682,Q2C,SMLY,AIB,EBET,KBR,DRXNE,ITI,GAIA,MNE,XCXT,SIFT,LANA,SHORTY,I0C,SHORTY,UNI,STN,ZENI,DSR,LANA
683,YASH,TRI,TTC,CCO,SHORTY,LOG,PIGGY,GUN,DSR,MNE,BTB,SUR,SAGA,ATS,KOBO,PIGGY,DRXNE,BLAS,ROC,KLN
684,TKR,TTC,PIGGY,TKR,TTC,IETH,SHORTY,AMMO,MRT,Q2C,MAC,ZENI,Q2C,MRT,CJ,UTC,ACE,ZET,SDC,SMC
685,HBN,HPC,SMLY,BTB,DEM,Q2C,JNS,LOG,ARI,LOG,NYAN,YASH,BTB,ACE,DRXNE,DRXNE,JET,EBET,ZET,ROC
686,CFD,LOG,LNK,BTCR,XCXT,PIGGY,DEM,BITS,ORB,I0C,HBN,MRT,UTC,BLAS,JET,EBCH,MNE,XCXT,SHORTY,ORB
687,LOG,XBL,XPTX,SGR,AMS,UTC,KOBO,MCRN,VISIO,MBI,IFLT,JET,ALTCOM,Q2C,HODL,CCRB,CCRB,SHORTY,KLN,ZENI
688,STRC,ARI,ARI,GUN,IETH,XCT,CPC,ITI,GAIA,ORB,MRT,GAIA,ERY,CFD,KURT,MRT,MBI,ROC,Q2C,BLAS
689,OTX,VLT,KOBO,BRIT,VISIO,FC2,FC2,DEM,Q2C,FC2,ETG,BLAS,ITT,BITS,SKC,KOBO,BPC,KOBO,SMC,YASH
690,PIGGY,IMS,EL,KBR,KURT,LANA,BITS,USC,ITI,SAGA,ACE,NYAN,I0C,LOG,LOG,LANA,SHORTY,DSR,MEC,ABJ
691,UTC,TIT,DRXNE,BPC,LNK,EBET,NETKO,MDC,GUN,DEM,VIDZ,LOG,GAIA,KOBO,YASH,YASH,HAL,HAL,DFS,BPC
692,TRUMP,GAIA,BPC,BTCRED,PIGGY,DFS,FUNC,KOBO,UTC,LANA,SDC,MNE,MAC,BTB,BPC,GUN,MRT,ABJ,CFT,EBET
693,IETH,VISIO,SHORTY,ATOM,BTCRED,SMLY,MNE,NTO,SAGA,BTCR,ITI,SHORTY,ITI,YASH,BTB,HAL,YASH,ITI,PIGGY,STN
694,SMLY,MAX,CUBE,XPD,TSE,XCXT,BBP,ACE,BLAS,CRAVE,ARI,BTB,SMC,RKC,808,JNS,UTC,HODL,HPC,MRT
695,DLC,KOBO,HPC,NEWB,HODL,AMMO,UTC,MNE,LOG,BRIT,DEM,ATS,MNE,DRXNE,NEWB,SMC,ITI,STRC,KOBO,BBP
696,BTB,BITS,YASH,MNE,XPD,BITS,LNK,I0C,DEM,OTX,BIGUP,ARI,SDC,SMC,MAC,LOG,PIGGY,MAC,NET,GB
697,MAX,PIGGY,XBL,GAIA,BTB,VISIO,BRIT,DFS,HBN,BTB,MCRN,TES,YASH,ERY,CFT,BPC,XPD,SDC,STRC,STRC
698,ETHD,YASH,VISIO,MAX,BITS,BTCRED,XCXT,VISIO,FUNC,CPC,RBT,ETG,TES,CJ,MRT,ITI,JNS,BTB,NEWB,NET
